,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
375,SE,Sudeste/Centro-Oeste,2017-04-04T00:00:00.000,38873.66895833
376,N,Norte,2017-04-05T00:00:00.000,5253.95329167
377,NE,Nordeste,2017-04-05T00:00:00.000,10648.36658333
378,S,Sul,2017-04-05T00:00:00.000,11881.400875
379,SE,Sudeste/Centro-Oeste,2017-04-05T00:00:00.000,39884.48341667
380,N,Norte,2017-04-06T00:00:00.000,5291.005375
381,NE,Nordeste,2017-04-06T00:00:00.000,10749.294375
382,S,Sul,2017-04-06T00:00:00.000,11526.8405
383,SE,Sudeste/Centro-Oeste,2017-04-06T00:00:00.000,40358.77670833
384,N,Norte,2017-04-07T00:00:00.000,5405.6865
385,NE,Nordeste,2017-04-07T00:00:00.000,10809.46308333
386,S,Sul,2017-04-07T00:00:00.000,11595.10220833
387,SE,Sudeste/Centro-Oeste,2017-04-07T00:00:00.000,40009.372
388,N,Norte,2017-04-08T00:00:00.000,5242.12475
389,NE,Nordeste,2017-04-08T00:00:00.000,10354.4865
390,S,Sul,2017-04-08T00:00:00.000,10235.36016667
391,SE,Sudeste/Centro-Oeste,2017-04-08T00:00:00.000,36531.19245833
392,N,Norte,2017-04-09T00:00:00.000,5082.77583333
393,NE,Nordeste,2017-04-09T00:00:00.000,9660.20670833
394,S,Sul,2017-04-09T00:00:00.000,8957.33233333
395,SE,Sudeste/Centro-Oeste,2017-04-09T00:00:00.000,32986.40266667
396,N,Norte,2017-04-10T00:00:00.000,5487.267375
397,NE,Nordeste,2017-04-10T00:00:00.000,10923.383625
398,S,Sul,2017-04-10T00:00:00.000,11927.10816667
399,SE,Sudeste/Centro-Oeste,2017-04-10T00:00:00.000,39369.79845833
400,N,Norte,2017-04-11T00:00:00.000,5470.14279167
401,NE,Nordeste,2017-04-11T00:00:00.000,11131.22120833
402,S,Sul,2017-04-11T00:00:00.000,11960.70258333
403,SE,Sudeste/Centro-Oeste,2017-04-11T00:00:00.000,40552.12091667
404,N,Norte,2017-04-12T00:00:00.000,5434.216875
405,NE,Nordeste,2017-04-12T00:00:00.000,11168.78104167
406,S,Sul,2017-04-12T00:00:00.000,11592.24808333
407,SE,Sudeste/Centro-Oeste,2017-04-12T00:00:00.000,39479.29541667
408,N,Norte,2017-04-13T00:00:00.000,5420.11416667
409,NE,Nordeste,2017-04-13T00:00:00.000,10582.95875
410,S,Sul,2017-04-13T00:00:00.000,11360.59241667
411,SE,Sudeste/Centro-Oeste,2017-04-13T00:00:00.000,37574.26570833
412,N,Norte,2017-04-14T00:00:00.000,4798.94879167
413,NE,Nordeste,2017-04-14T00:00:00.000,8941.82358333
414,S,Sul,2017-04-14T00:00:00.000,8706.257875
